,Unnamed: 0,beta,rr_sus_slat,rr_sus_rec,r_clear,r_sc,adr,rr_inf_asym,rr_inf_cs,r_lat,p_primary,r_stab,r_react,r_relapse,r_relapse_td,r_relapse_tc,p_cs_pub,p_dx_pub,p_dx_pri,dur_succ,r_act,cas,k_covid_2020,k_covid_2021
56,56,14.854453031605477,0.4933892693242447,0.1820366176654473,0.0244355749881395,0.1790441828317047,0.0482247912492221,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.571 -> 3.276(40%) -> 4.687(70%)),1.0,1.0
57,57,12.09864371256862,0.7182330876367432,0.1594998122135973,0.0348501332701106,0.228198854786877,0.085120195960701,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.419 -> 3.304(40%) -> 4.000(70%)),1.0,1.0
58,58,11.689696567524994,0.6501245325367162,0.2761494423384453,0.0328831710147641,0.1915653545912251,0.0655421143348879,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.720 -> 2.862(40%) -> 3.765(70%)),1.0,1.0
59,59,18.628689963064733,0.3392039684697761,0.1960858766797804,0.0206951914294468,0.2053890646751654,0.0734514259629739,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.406 -> 3.051(40%) -> 5.678(70%)),1.0,1.0
60,60,13.642068728041298,0.4230683449614824,0.2644989577466271,0.0316931284635662,0.2009751541451888,0.0668417193389353,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.559 -> 4.715(40%) -> 3.319(70%)),1.0,1.0
61,61,14.312255259705822,0.5785770019626617,0.1834080336518691,0.0216605531648131,0.1750899942179956,0.0709356836864501,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.800 -> 3.832(40%) -> 3.304(70%)),1.0,1.0
62,62,12.124880913484947,0.6435767782180478,0.2426632343462017,0.026162814098277,0.2444936639812431,0.0564943609200337,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.545 -> 3.122(40%) -> 5.123(70%)),1.0,1.0
63,63,15.458463783397503,0.3429706902426276,0.2012572729551917,0.02659870559342,0.1588220332843212,0.0410235062614862,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.314 -> 2.970(40%) -> 4.152(70%)),1.0,1.0
64,64,23.154365968150078,0.2169745959494237,0.2918302493754982,0.0292342245162496,0.1881871568058197,0.0863153611391626,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.428 -> 2.676(40%) -> 3.980(70%)),1.0,1.0
65,65,14.4946845743052,0.4911003223056708,0.2313494559206269,0.026734545426566,0.2207638681567282,0.0658229608263604,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.407 -> 3.698(40%) -> 4.223(70%)),1.0,1.0
66,66,16.73315919536828,0.351535971662656,0.1785227122556401,0.0327000215694018,0.177657477029878,0.0533509316273368,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.320 -> 3.102(40%) -> 4.321(70%)),1.0,1.0
67,67,15.827961402595152,0.3039391727268944,0.1868684862154638,0.0314352515593298,0.2001960866736176,0.0266723793493715,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.410 -> 4.035(40%) -> 5.795(70%)),1.0,1.0
68,68,17.016420850929443,0.4051268430672159,0.2563493511233146,0.0386883667356002,0.1975012747288524,0.0849817905421308,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.341 -> 3.576(40%) -> 5.679(70%)),1.0,1.0
69,69,10.551769018566654,0.6860271537273883,0.2296661231395857,0.0287445563772465,0.168470653688805,0.058912773061946,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.707 -> 3.083(40%) -> 3.887(70%)),1.0,1.0
70,70,12.248685689259128,0.4358430543706495,0.2364641866754041,0.03884723036295,0.1880373576288686,0.0341826891469793,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.382 -> 3.000(40%) -> 2.915(70%)),1.0,1.0
71,71,20.351313913021706,0.2091421997340578,0.2044755003095543,0.0332175923757643,0.1604490696713719,0.0600081401936431,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.444 -> 3.297(40%) -> 4.414(70%)),1.0,1.0
72,72,12.474863434426252,0.7087167997027817,0.2091888180886142,0.0331853046599558,0.1634873068522106,0.0593871593488534,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.382 -> 3.796(40%) -> 5.528(70%)),1.0,1.0
73,73,14.150504029150987,0.5154170690745118,0.2651118765531486,0.0304298040533852,0.1543828339637033,0.0802160130721325,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.500 -> 2.741(40%) -> 5.735(70%)),1.0,1.0
74,74,12.485558209894988,0.4274039314087074,0.2588735757347204,0.0380965163014369,0.1934071470936971,0.0477275083932763,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.513 -> 3.335(40%) -> 2.945(70%)),1.0,1.0
75,75,17.016420850929443,0.4051268430672159,0.2563493511233146,0.0386883667356002,0.1975012747288524,0.0849817905421308,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.571 -> 3.520(40%) -> 4.400(70%)),1.0,1.0
76,76,12.441727186466393,0.6084495783246046,0.1914687226668253,0.0277310407695766,0.1871067320950569,0.0629442960672118,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.378 -> 3.812(40%) -> 3.545(70%)),1.0,1.0
77,77,15.15593316508394,0.383824614634541,0.2126235149603374,0.0251771608314991,0.2333222708125575,0.0500229302423375,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.672 -> 3.047(40%) -> 3.418(70%)),1.0,1.0
78,78,12.124880913484947,0.6435767782180478,0.2426632343462017,0.026162814098277,0.2444936639812431,0.0564943609200337,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.362 -> 3.288(40%) -> 2.864(70%)),1.0,1.0
79,79,26.197183534481457,0.2221237612802127,0.1702447864261504,0.0288699694579402,0.1639244474486121,0.0920716036429397,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.452 -> 3.207(40%) -> 5.224(70%)),1.0,1.0
80,80,18.211042374311543,0.2629040641863182,0.2370105530079089,0.0235919486597004,0.1933619291644488,0.0501677853554829,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.330 -> 3.254(40%) -> 4.486(70%)),1.0,1.0
81,81,22.54003610053596,0.2238751405378079,0.2373670399318492,0.0332313277765942,0.1854213849307573,0.0820310569811993,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.593 -> 3.740(40%) -> 4.912(70%)),1.0,1.0
82,82,13.114177449793782,0.671681837956838,0.2058176338689623,0.03596517520582,0.2019669404790287,0.0738549075354867,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.407 -> 3.698(40%) -> 4.223(70%)),1.0,1.0
