,beta,rr_sus_slat,rr_sus_rec,p_primary,r_clear,r_sc,irr_hiv,adr,irr_art,rr_inf_asym,rr_inf_cs,r_lat,r_stab,r_react,r_relapse,r_relapse_td,r_relapse_tc,dur_succ,r_act,cas
32,18.306357994849066,0.41560009485249855,0.2671877912683874,0.10414181834849906,0.034777474536227884,0.17493195005267173,25.678510859454892,0.07447911341497966,0.08790898628326832,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05812405382987919,Cascade(1.387 -> 3.001(0%) -> 6.666(100%))
33,17.05376790123743,0.2439761361190869,0.24104341012208844,0.1344216642285726,0.03489260798166355,0.20878154880247302,7.217657750372204,-0.04938225257164484,0.38873156943955683,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07764846847095144,Cascade(1.323 -> 3.402(0%) -> 5.688(100%))
34,20.252592435352724,0.4249021866345214,0.3039951773034445,0.10322246556227102,0.02687730765594502,0.20413465218080587,9.33692303886243,-0.05041933048798779,0.8986415037656388,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05755187970168684,Cascade(1.324 -> 3.599(0%) -> 5.616(100%))
35,17.561147427470548,0.3646676080555408,0.25921175475354125,0.12276130781315607,0.033051351260233904,0.21458605403141254,27.57687040080546,0.04118228344635692,0.41857358314248955,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06997029936466198,Cascade(1.429 -> 3.949(0%) -> 4.907(100%))
36,17.133776352286183,0.6641738810151921,0.23525032365654427,0.10172339078587984,0.031264692427358076,0.19854951143431804,12.252946973534852,-0.026991069844109983,0.5787746580046769,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05662141802560968,Cascade(1.421 -> 4.015(0%) -> 5.295(100%))
37,21.785565110508287,0.4280896246942383,0.2865967483829392,0.09532153470371182,0.03841536623749907,0.2079360460921859,3.6863574124612053,-0.07059116806262919,0.5240304064320953,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05268254875089427,Cascade(1.485 -> 3.315(0%) -> 4.363(100%))
38,25.552887509661794,0.3695911765389228,0.1428524744065416,0.09463778174434878,0.035820149152855446,0.2025774410243413,14.503830959799373,0.051111180293420315,0.6558454574144822,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05226514859803078,Cascade(1.755 -> 2.526(0%) -> 4.202(100%))
39,26.66567216782607,0.2976174464832563,0.2430377451324664,0.1014131395223297,0.02834990350195329,0.17177807650732738,15.3256701419803,0.04622156872823271,0.2615632245136277,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.0564292357159666,Cascade(1.573 -> 3.240(0%) -> 5.434(100%))
40,20.160983236469267,0.3750642221631912,0.1698834052467364,0.10685885894456816,0.024726178065252145,0.22208117433114205,7.006705844626822,0.04378329128850397,0.359365433931524,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05982193296923497,Cascade(1.443 -> 2.589(0%) -> 5.183(100%))
41,15.183365243301855,0.4807535689182481,0.24970948311922772,0.11999939811712111,0.038433682434603066,0.16412541905639694,8.789889095580332,-0.00920102657928866,0.6722396133983324,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.068181429569688,Cascade(1.447 -> 4.235(0%) -> 6.184(100%))
42,16.858342287067217,0.43129950898237923,0.27668706908789636,0.1123929398486523,0.03529688032905481,0.18557477705009479,12.49965325661973,-0.03886179527623237,0.71478248309949,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.0633123286724916,Cascade(1.536 -> 3.369(0%) -> 4.199(100%))
43,13.196844354421858,0.7108919100147875,0.27646786856303535,0.12518912714406183,0.03094300789214231,0.20125322699284726,26.558408322535275,0.05762084796381538,0.49664194840327025,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07155210973508196,Cascade(1.698 -> 2.802(0%) -> 6.012(100%))
44,25.94676917672266,0.3035157118855174,0.19831549533616144,0.10373341862321055,0.03256622320453936,0.16064452815733962,10.93823818865763,0.0656202988097968,0.8768870468934916,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05786973472996263,Cascade(1.520 -> 3.151(0%) -> 8.234(100%))
45,20.80326086200711,0.3234514000213995,0.14312537371978426,0.1186966313138916,0.03395722591749573,0.20405640937277406,22.708926632391066,0.053817642875796434,0.6962058447197205,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06734152820205971,Cascade(1.720 -> 2.862(0%) -> 4.648(100%))
46,13.196844354421858,0.7108919100147875,0.27646786856303535,0.12518912714406183,0.03094300789214231,0.20125322699284726,26.558408322535275,0.05762084796381538,0.49664194840327025,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07155210973508196,Cascade(1.698 -> 2.802(0%) -> 6.012(100%))
47,22.686997161639923,0.43954501884689773,0.2902267018312124,0.09694647721595123,0.022087875023199827,0.241316559110554,10.089318735353173,-0.015421549689674643,0.6590094129861923,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05367703838697857,Cascade(1.302 -> 2.687(0%) -> 4.901(100%))
48,25.506466337034666,0.23518561628020437,0.15250498204904822,0.11093758610846596,0.036702075530287426,0.23861663842097341,18.117955513941197,0.03337945219094024,0.5342737741146821,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06239021264147175,Cascade(1.560 -> 3.411(0%) -> 4.210(100%))
49,24.542881693168017,0.2825984261978571,0.2381690028257329,0.12211093328093289,0.03000453769079053,0.2413350870227508,29.260326134361,0.02581055663910828,0.826067174185069,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06954804309005569,Cascade(1.659 -> 3.351(0%) -> 4.352(100%))
50,26.66567216782607,0.2976174464832563,0.2430377451324664,0.1014131395223297,0.02834990350195329,0.17177807650732738,15.3256701419803,0.04622156872823271,0.2615632245136277,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.0564292357159666,Cascade(1.573 -> 3.240(0%) -> 5.434(100%))
51,21.761242929266302,0.3519512670618542,0.29910288857727096,0.11270979767253068,0.02759092273311263,0.18306520605510132,26.94767566529744,-0.019985589846137027,0.8235876130281826,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06351349162702308,Cascade(1.900 -> 2.926(0%) -> 4.217(100%))
52,25.272428927255678,0.41965197761274947,0.2918493877317601,0.09967999097230594,0.025799741523030426,0.21569005574449232,17.331985833788863,0.04801105530233177,0.4795220163582291,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05535808933090132,Cascade(1.869 -> 2.854(0%) -> 4.327(100%))
53,19.15416006529476,0.2699634709138294,0.2067079530577841,0.12162044647186152,0.037038402021515975,0.19181665605325057,11.496466034370346,-0.04459460524865462,0.8865025337843393,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06923000767911515,Cascade(1.386 -> 3.105(0%) -> 5.297(100%))
54,24.975565283705816,0.40578996932090006,0.28763016391484947,0.09932985376920725,0.025123700670378325,0.23390570349780737,11.477752688203985,0.01888683522562,0.23560647220210792,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.055142192835463656,Cascade(1.722 -> 3.192(0%) -> 5.010(100%))
55,21.185584920391012,0.42941322077930105,0.16799842767411788,0.10377536521537391,0.021607654018417626,0.24131066924466532,22.228496097711997,0.07977416445314629,0.8285169384167144,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05789584507477437,Cascade(1.323 -> 3.466(0%) -> 5.057(100%))
56,19.502177158629355,0.2505396372956886,0.23551258105379655,0.12820773802532953,0.03703212702747643,0.21950485979648415,9.192454917662097,-0.09620477781483758,0.9545322350402757,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07353112869740897,Cascade(1.765 -> 3.003(0%) -> 5.085(100%))
57,19.51087751262576,0.42991685479149466,0.21021328996299013,0.1084938032584615,0.03360181496830638,0.245285779277975,16.698103755653303,-0.08620619195413892,0.693696342244229,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06084859738216466,Cascade(1.457 -> 3.611(0%) -> 5.537(100%))
58,21.192697281589204,0.3831596129687477,0.22613832027434133,0.11796637885752946,0.02416810682406889,0.199173361228014,24.452587628666336,-0.06726577186960087,0.8851314614810849,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.06687181533099118,Cascade(1.343 -> 4.285(0%) -> 5.272(100%))
59,21.055566158923014,0.5322919277376557,0.23058115003174484,0.10018242213677972,0.0231837805012038,0.23157476765563068,14.58704521756136,-0.009092362749969997,0.9276514455678146,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05566818464175873,Cascade(1.519 -> 3.457(0%) -> 3.819(100%))
60,17.133776352286183,0.6641738810151921,0.23525032365654427,0.10172339078587984,0.031264692427358076,0.19854951143431804,12.252946973534852,-0.026991069844109983,0.5787746580046769,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.05662141802560968,Cascade(1.421 -> 4.015(0%) -> 5.295(100%))
61,13.55808100756147,0.4153481275416569,0.22201224119703894,0.12937935920722002,0.03598959816364773,0.20664064995015052,19.574026317180177,-0.03537119711478546,0.3260303067609128,1,1,0.5,0.6666666666666666,0.001,0.001,0.008,0.004,0.5,0.07430294731434821,Cascade(1.283 -> 2.335(0%) -> 6.033(100%))
