Year,N,IncR_apx,MorR_apx,CNR_apx,CumInc,CumMor,CumACF,IncR,MorR,DetR,CNR,PrLat,PrRecent,Prev,PrevUt,PrevA,PrevS,PrevC,PrA,PrS,PrC,N_NonHIV,N_HIV,N_ART,PrHIV,PrART,IncR_NonHIV,IncR_PLHIV,Key
2016.0,53935215.249473035,0.004816885794684377,0.000699544152273385,0.005654134057698837,106355471.93403788,14425597.192111906,0.0,0.004816095672825153,0.0006996486483437735,0.003718830269001688,0.005655705608742912,0.3891891063322612,0.5769914898229972,0.0056428186104474,0.004168095356039579,0.002777064128372771,0.0010001558872430585,0.00039087534042375,0.6662669375710897,0.23995513581373096,0.09377792661517947,47803525.25149891,2755314.4125231365,3376375.585451002,0.11368620611992547,0.5506435561103921,0.0024067069671739267,0.02314168874631515,2
2017.0,54519179.444414,0.004454632686971835,0.0006497617409120073,0.00525604980801438,106609414.19235729,14462564.906512871,0.0,0.004452578697075271,0.0006496259674208558,0.0034553927659941486,0.005255062165632813,0.3859079884980648,0.5794496679449138,0.00524401785707527,0.003868825695157815,0.0025761168893012167,0.0009291562951228298,0.0003635525107337684,0.6658653276950315,0.2401649410790858,0.09396973122588262,48184093.32792242,2503834.8340586955,3831251.2824328886,0.11619921981677354,0.6047670405709754,0.0022910382855617704,0.020525639508547716,2
2018.0,55095024.50607626,0.00411529533245031,0.0006008229684927406,0.004867153250259142,106846536.23320875,14497174.455589503,0.0,0.0041127720850774995,0.0006005416833747193,0.0031986531098676563,0.004864605003539933,0.38195305857895373,0.5808550329117519,0.004854827943822516,0.003579470346542119,0.0023826857069871384,0.0008599902786475737,0.0003367943609074073,0.6656531487371833,0.24025629363806614,0.0940905576247506,48564027.72216541,2264816.496329109,4266180.287581734,0.11854059132309779,0.6532203932624036,0.002170750119275055,0.018260156192489517,2
2019.0,55662979.746183455,0.003803771905612258,0.0005547689774200158,0.004500127966514687,107067856.74722283,14529473.646265952,0.0,0.0038011342925436584,0.0005544054729596544,0.0029572422220833713,0.0044974602797183474,0.37738500289725185,0.581226963337717,0.004489261321304961,0.0033091303546319666,0.0022025945562881683,0.0007951381381123823,0.0003113976602314157,0.6656112997196013,0.2402861334850061,0.09410256679539256,48944352.0443779,2054949.947254777,4663677.754550788,0.12070190515207244,0.694141417197067,0.0020502395103018916,0.016322123633894788,2
2014.0,,0.005579907962815863,0.0006845007523567689,0.004852347946836004,86991778.52736457,10233515.792759404,0.0,0.005581386919402049,0.0006845724341779434,0.003835927515332515,0.004853439474858788,0.32074147293251865,0.665011929609712,0.006818562883949691,0.005333047811326983,0.0031574685789082764,0.0009250215674400754,0.0012505576649786308,0.5920570545424432,0.17345082965043007,0.23449211580712678,,,,,,0.0027264187886701595,0.028361423112103257,3
2015.0,53285746.39363234,0.005509332220849704,0.0006793809230816264,0.0048085439295314945,87288927.92174202,10270059.906386599,0.0,0.005510509686199445,0.0006795142452998097,0.0038015380955885823,0.004809927972976834,0.3211043813807919,0.6677344080659809,0.006755021571022483,0.005280784477189206,0.0031244061789670154,0.0009155324331091771,0.0012408458651130129,0.5916556891240594,0.17337053558309315,0.23497377529284735,47351317.60022552,3027816.446043296,2906612.3473635176,0.11136991024894378,0.4897880568712496,0.002709866945849534,0.027260438636010298,3
2016.0,53877125.30229919,0.005427085647708307,0.0006724386195115122,0.004753889086761669,87585161.47831222,10306679.885245206,0.0,0.005427362956816746,0.0006725922339429383,0.0037579614348165033,0.0047547922372967325,0.32136533737900186,0.6705610400700038,0.006674701346621966,0.005215510024092529,0.0030834450991277093,0.0009046166540849494,0.0012274482708798697,0.5912068205955011,0.17344740014038185,0.23534577926411698,47731012.62707837,2791107.659390833,3355005.0158299743,0.11407647755398198,0.5458743100100164,0.0026894725491047595,0.026169693680609993,3
2017.0,54460461.67343387,0.005339845325858751,0.0006638377260045588,0.004688237550902613,87879893.0766904,10343264.1781675,0.0,0.005339926187955478,0.0006639128987877256,0.0037058951441084876,0.004688914926106039,0.32147852685126443,0.6731262251328269,0.006581238803088432,0.00514038867230404,0.0030374461855394858,0.0008912896471341625,0.0012116528396303918,0.590898155601536,0.17338954385615868,0.23571230054230535,48110147.73132196,2537169.7436653906,3813144.198446519,0.11660411511365555,0.6004654625277298,0.0026645117028808282,0.025159183852146584,3
2018.0,55035686.65830597,0.005253172638100325,0.000654180878022587,0.004617770134244779,88172877.33456686,10379721.675924683,0.0,0.005252987433541483,0.0006542106440171218,0.0036497655698110804,0.0046178965112605354,0.3214217726579066,0.6752251909303276,0.006481390046181829,0.00506122715565356,0.0029897594971970863,0.0008775457217574651,0.0011939219366990089,0.5907182991890465,0.17338595853719332,0.23589574227376026,48489991.20186129,2295118.880278036,4250576.576166639,0.11893547357888375,0.6493697429784427,0.002635734975297114,0.024254504407377756,3
2019.0,55603028.7506693,0.005169026438672354,0.0006441842632839941,0.0045463349797306265,88464064.61891131,10415998.425956644,0.0,0.005168785051395102,0.0006441544393183928,0.0035931813351063597,0.004546302833519323,0.32119563807376794,0.6767949697119752,0.006380601438337187,0.004981965340238518,0.0029424965393079045,0.0008638511738084569,0.0011756176271221562,0.590629668886261,0.17339566111214635,0.2359746700015926,48871509.450242445,2082076.9733117002,4649442.327115156,0.1210638961883138,0.6906973180364093,0.0026045351932892204,0.02345371409279823,3
2014.0,,0.00603513974490316,0.0012580449551702446,0.0047191374838189805,100371745.65260959,19877055.79568437,0.0,0.006037429493422448,0.0012582845270476698,0.003540071414737558,0.004720249136302715,0.3374437701466587,0.6758109529264473,0.009671726459937486,0.008294805286342383,0.004419968444677246,0.0009777925600305654,0.0028970442816345725,0.5328598191394368,0.11788011005400294,0.34926007080656046,,,,,,0.003223573260689359,0.02872222254582314,4
2015.0,53273060.43102718,0.0058752547018593275,0.0012335345204606454,0.004625222659549887,100690835.83903226,19943802.395288147,0.0,0.005876768700024784,0.001233851229001568,0.0034698464769293415,0.004626612832623503,0.3372755738012705,0.6798767183647584,0.009473746511346397,0.008122016521393246,0.004318524884216067,0.0009563146355201467,0.0028471770016570315,0.5317059960221886,0.11774349793567043,0.35055050604214094,47394210.47884496,3000079.980387102,2878769.9717951138,0.11035314856358934,0.4896825051176074,0.0031802585317038164,0.0270665496746684,4
2016.0,53864299.031006075,0.005700431608618563,0.0012050478539714497,0.004516782002925053,101004297.08377776,20009846.263290815,0.0,0.005700436047840883,0.001205330098536171,0.003388236707329196,0.004517796258227772,0.33685468035046984,0.6842047606671962,0.009246161958342394,0.007923801735538423,0.004203327571810477,0.0009317378156498561,0.0027887363480780898,0.5304685442795043,0.11758721971436915,0.3519442360061265,47783588.167304054,2761050.1838963265,3319660.679805698,0.11288944575704524,0.5459329927397075,0.0031299672596836244,0.02543076706233512,4
2017.0,54447494.94459595,0.005522741514597853,0.001173228728134332,0.004396314810335762,101311404.08056028,20074940.609790802,0.0,0.005522087876125385,0.0011733634936212623,0.00329740035090998,0.004396677166915555,0.33613121089090986,0.6881380845192157,0.008995751040148096,0.00770671733610402,0.004080035639321016,0.0009049842457802351,0.0027216974510027685,0.5294129084256253,0.11742797955500625,0.35315911201936845,48171684.767967165,2506497.6901850104,3769312.486443775,0.11526352466747739,0.6006097030277865,0.0030724386097742006,0.023927951653223048,4
2018.0,55022581.582207665,0.005350109406391882,0.0011396272162535349,0.004270095701608065,101611997.60406339,20138897.816015847,0.0,0.005348959219420273,0.0011396503677853168,0.003202295954164968,0.004269867169601452,0.3350811935485279,0.6913103411907623,0.008735101631382091,0.007481871137184274,0.003955580619101659,0.0008776955997105846,0.00264859491837203,0.5286886858345841,0.1173096386742764,0.3540016754911395,48559732.82251593,2265024.3821529318,4197824.37753881,0.11745811581079277,0.6495315817569949,0.003009145773750353,0.022594729016139133,4
2019.0,55589789.36657564,0.005184646440459064,0.0011057726813297423,0.004143277269685662,101906197.33030976,20201615.914632082,0.0,0.005183540236993813,0.001105682888187387,0.0031070241121162875,0.004142833904602611,0.3337097868850678,0.6936738173463293,0.008474658229948868,0.007257976964128662,0.0038342219559726557,0.0008508611896477123,0.0025728938185082947,0.5282769530576712,0.11723117803390003,0.35449186890842893,48948693.464954525,2053253.3235611548,4587842.578059964,0.1194661101848714,0.6908261296061171,0.0029423912587658797,0.02142037321373988,4
