,Unnamed: 0,beta,rr_sus_slat,rr_sus_rec,p_primary,r_clear,r_sc,r_react,r_relapse,r_relapse_td,r_relapse_tc,irr_hiv,rr_inf_asym,rr_inf_cs,r_lat,r_stab,irr_art,dur_succ,adr,r_act,cas,k_covid
38,38,12.428785137699276,0.3407258427352986,0.1954214829090311,0.0991153214753096,0.0226271941152173,0.1922646298175068,0.0009818690862029,0.0013382963951473,0.1436633649351344,0.0242549161671827,13.504947737629502,1,1,0.5,0.6666666666666666,1,0.5,0,0.0550099939748243,Cascade(1.596 -> 3.178(40%) -> 5.131(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
39,39,8.96155038952631,0.4269949060865691,0.1530131209320728,0.0997218766605512,0.0291790447729818,0.1863472173979762,0.0011073271147708,0.001997613935478,0.1464135612462353,0.0292752833441938,16.197209585464506,1,1,0.5,0.6666666666666666,1,0.5,0,0.0553839275193357,Cascade(1.463 -> 3.191(40%) -> 4.076(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
40,40,9.061181155230884,0.574054432640643,0.2405099922092838,0.0945032663884572,0.0280233155736337,0.2487930002986146,0.0006631151068552,0.0015516321193673,0.1367353991279492,0.0345889560781973,25.76609845265596,1,1,0.5,0.6666666666666666,1,0.5,0,0.0521831072827475,Cascade(1.344 -> 3.322(40%) -> 4.873(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
41,41,6.931932798679611,0.2592160542380758,0.2669865534483454,0.1174313866407157,0.0325370044522857,0.2060572054702872,0.0010208570679759,0.001513001547776,0.1338387909504313,0.0366241618791611,24.3215832164473,1,1,0.5,0.6666666666666666,1,0.5,0,0.0665281910455333,Cascade(1.594 -> 3.788(40%) -> 4.412(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
42,42,7.224335281397816,0.6739884545078296,0.1557475941991916,0.0920718769538692,0.0340949948236941,0.2120456950649771,0.0012154805502439,0.0016286032350385,0.1718537779573855,0.0245129877505053,26.706343103539165,1,1,0.5,0.6666666666666666,1,0.5,0,0.050704386512979,Cascade(1.320 -> 3.102(40%) -> 4.321(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
43,43,12.22738990257395,0.2289186364739816,0.2889958967574818,0.1026978178096036,0.0367621853789455,0.1894549855444014,0.00105970104207,0.0018892764685113,0.1149584251235549,0.038585820106357,11.133287968506115,1,1,0.5,0.6666666666666666,1,0.5,0,0.0572258821208419,Cascade(1.641 -> 3.220(40%) -> 3.868(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
44,44,14.010609702634945,0.2418472655761132,0.1705473558993501,0.1003078836944868,0.0318079332416671,0.2434823779951135,0.0008425107285595,0.0013043960296998,0.1331517662856276,0.0291598013309355,17.117206595216942,1,1,0.5,0.6666666666666666,1,0.5,0,0.0557456722564104,Cascade(1.686 -> 3.017(40%) -> 2.919(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
45,45,15.233575702762346,0.2411138036137574,0.2237623540341774,0.0985502693418961,0.0292766716350954,0.2443015211429869,0.0013548933998657,0.0013344468301156,0.1349979736156154,0.0328204856527455,14.266940213484396,1,1,0.5,0.6666666666666666,1,0.5,0,0.0546620992775434,Cascade(1.344 -> 3.190(40%) -> 4.012(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
46,46,9.312887018865432,0.2233684887943532,0.1912017222530721,0.0956018340550445,0.0363105720960777,0.1972057337240527,0.000873422368922,0.0019081914513315,0.1433996094925922,0.0324473015973243,29.318074250756023,1,1,0.5,0.6666666666666666,1,0.5,0,0.0528538411813094,Cascade(1.450 -> 3.088(40%) -> 5.516(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
47,47,8.409410638765518,0.3592108320869101,0.2657812849754208,0.0920802833279498,0.0391100500574383,0.2248199052816026,0.00135600142675,0.0013233080769905,0.1226044594105598,0.03748611627594,24.938121933715696,1,1,0.5,0.6666666666666666,1,0.5,0,0.0507094854517903,Cascade(1.593 -> 3.431(40%) -> 3.413(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
48,48,6.829553336509898,0.6181957305405524,0.19429690152986,0.1194578943170315,0.0312366840195368,0.1837191552262566,0.0008203995745619,0.0017217083656187,0.1499607396078787,0.0250708589494907,22.38704016957766,1,1,0.5,0.6666666666666666,1,0.5,0,0.0678320170870064,Cascade(1.448 -> 4.219(40%) -> 4.090(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
49,49,6.962101915439181,0.5186298899410928,0.2770751079692693,0.1196846404451997,0.0339542654035517,0.208912227194865,0.0014949458157599,0.0014440055155097,0.1122250846036203,0.0371108553779823,18.967142153100728,1,1,0.5,0.6666666666666666,1,0.5,0,0.0679782757089048,Cascade(1.437 -> 3.478(40%) -> 4.044(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
